,Name,Household Income,Poverty Count,Total for poverty status,Unemployed in labor force,Total for employment status,Median house price,Moved to a different state,Moved to different state Male,Moved to different state Female,Moved to different state Less than high school graduate,Moved to different state High school graduate,Moved to different state Some college or associate's degree,Moved to different state Bachelor's degree,Moved to different state Graduate or professional degree,Moved to different state Below 100 percent of the poverty level,Moved to different state 100 to 149 percent of the poverty level,Moved to different state above 150 percent of the poverty level,Moved to different state 1 to 4 years,Moved to different state 5 to 17 years,Moved to different state 18 to 24 years,Moved to different state 25 to 34 years,Moved to different state 35 to 44 years,Moved to different state 45 to 54 years,Moved to different state 55 to 64 years,Moved to different state 65 to 74 years,Moved to different state 75 years and over,State,Year,Poverty Rate,Unemployment Rate
253,Vermont,54166,73149,601819,17452,395850,214600,18623,10653,9771,844,1818,3060,3767,2000,3232,1622,11983,652,1687,6596,4314,2000,2082,1430,919,744,50,2014,12.15465115,4.408740685
254,Virginia,64902,953395,8080300,241986,5129648,247800,189998,134380,129387,9243,24947,42740,42965,37143,39116,18775,184291,17663,38195,50871,67083,36194,20614,15589,11556,6002,51,2014,11.79900499,4.717399712
255,Washington,61366,913619,6927889,216510,4382463,266200,156359,101741,96459,8512,21090,40385,28884,19723,37060,15822,128932,12512,24708,42386,45909,25918,17285,16176,8932,4374,53,2014,13.18755251,4.940372571
256,West Virginia,41059,327764,1792949,52522,1118678,103900,43100,26254,22550,2048,9412,8547,5644,4069,10142,6277,27736,3962,8673,6449,10447,6935,5096,4155,1927,1160,54,2014,18.28072076,4.69500607
257,Wisconsin,52622,738270,5603486,151495,3540472,164700,89945,57030,57694,3773,13175,18330,19905,12227,19746,9936,72281,4863,12822,29629,30569,9971,10927,8638,4989,2316,55,2014,13.1751913,4.278949247
258,Wyoming,57055,63774,570149,12524,359462,201000,29649,17141,16324,1674,3897,7948,3726,2287,5043,3322,22505,3032,4710,6191,7209,4818,3598,2366,1157,384,56,2014,11.18549712,3.484095676
260,Alabama,44765,876016,4736333,147419,2931080,134100,71014,50473,50336,6884,13995,16527,14356,7977,18163,7634,66870,6518,11919,22633,25424,12721,8722,7435,2937,2500,01,2015,18.49565898,5.029511306
261,Alaska,73355,74532,720765,27966,457079,259600,34315,20608,19944,1767,4964,9670,6226,2461,4092,4727,28508,3170,5846,6448,9139,5106,4569,4893,1033,348,02,2015,10.34067969,6.118417166
262,Arizona,51492,1159043,6671705,197416,3992074,194300,146174,97135,87341,8354,22839,39580,26101,18181,33233,16773,122306,12063,22485,34873,41395,23409,16614,15281,11418,6938,04,2015,17.37251572,4.945198912
263,Arkansas,41995,550508,2887337,72575,1759383,120700,58707,37296,39377,5680,13085,14230,8641,5874,19064,8449,44264,5665,11179,12319,16693,9733,8702,5634,3161,3587,05,2015,19.06628842,4.125025648
264,California,64500,5891678,38398057,1334831,24451851,449100,449876,330635,313075,30301,68617,127302,98224,61879,112218,51529,408576,37476,71434,148477,153948,83529,54888,51010,28058,14890,06,2015,15.34368783,5.459018215
265,Colorado,63909,613549,5339618,138105,3416438,283800,155395,95478,87467,7221,18533,32554,32297,19381,26161,13581,129683,13788,22840,36331,45089,22245,15277,15897,7980,3498,08,2015,11.49050363,4.042368104
266,Connecticut,71346,366909,3480932,121380,2232650,270900,79630,52264,51079,4024,10272,14691,14674,14786,14655,6465,65005,3748,8267,32881,20131,9789,7997,9962,7349,3219,09,2015,10.54053914,5.436588807
267,Delaware,61255,114360,920355,25049,570682,240200,22274,15881,15000,1351,4322,5791,4952,3301,3804,3771,20678,2174,3333,5657,7729,5197,2024,1349,1387,2031,10,2015,12.42564011,4.389309633
268,District of Columbia,75628,110500,638027,27015,469590,551300,33921,33586,31150,4042,5095,6065,14477,15336,7099,1462,50114,3756,5450,10515,24593,9655,4470,3932,1199,1166,11,2015,17.31901628,5.75289082
269,Florida,49426,3116886,19850054,626099,11988187,179800,330542,227443,217877,26003,64835,87807,67467,37704,81757,37518,289920,26805,55505,79194,99172,52187,43459,36747,26869,25382,12,2015,15.70215376,5.222632914
270,Georgia,51244,1694988,9943145,328816,6254418,159300,151316,128846,120456,10607,29155,46100,35849,27115,44893,20995,161739,15783,35451,49242,61743,29814,22514,19082,9631,6042,13,2015,17.04679958,5.257339692
271,Hawaii,73486,147984,1394121,32789,831201,566900,37038,29479,30980,1051,5974,11811,9015,5405,9915,3627,41517,5067,8744,13392,14818,7670,3418,4982,1735,633,15,2015,10.61486055,3.944773887
272,Idaho,48275,245551,1622116,37823,961905,176300,49796,27294,28591,1690,5782,9982,8283,2919,12153,4924,35094,3414,8336,15479,11317,6867,2451,3690,2342,1989,16,2015,15.13769669,3.932093086
273,Illinois,59588,1703258,12559422,425441,7958577,180300,236825,166595,170997,13839,35000,50523,51332,40283,62262,28137,202101,20979,40859,84777,78868,38356,25822,21382,17587,8962,17,2015,13.56159543,5.345691824
274,Indiana,50532,933181,6417418,178346,4015170,131000,109300,68043,73573,6282,17766,23405,18641,15084,23635,14044,92737,8001,23167,29270,30843,16015,12579,10542,6478,4721,18,2015,14.54137786,4.441804457
275,Iowa,54736,367414,3021823,62895,1876389,136100,66129,41472,39582,3783,10095,11972,11509,7444,17159,6404,50671,5057,9890,21304,15440,9077,6569,7958,3629,2130,19,2015,12.15868699,3.3519169
276,Kansas,53906,368879,2830943,62958,1724059,141200,81564,51723,47929,4410,10909,17293,15295,10113,14151,5541,73133,6675,14669,20288,23726,11970,10194,7611,2967,1552,20,2015,13.03025176,3.651731176
277,Kentucky,45215,794055,4290022,124618,2682955,130000,87343,56632,52394,7235,14803,20475,11180,11110,20782,8173,71430,9015,13545,21663,26392,13993,9343,7388,4691,2996,21,2015,18.50934564,4.644803957
278,Louisiana,45727,889946,4541688,146749,2820771,155600,69615,50933,49234,5103,14705,20981,12967,8139,15048,12744,65662,5626,17928,14718,23482,15364,10127,7209,3392,2321,22,2015,19.59504924,5.202442878
279,Maine,51494,172620,1292996,33116,816194,180300,34372,19288,17765,1317,5344,6589,6189,3523,6010,3337,23449,1736,4052,8303,8362,3782,3432,4082,2146,1158,23,2015,13.35038933,4.057368714
280,Maryland,75847,570776,5863290,161874,3738785,299800,119084,91430,90373,5840,17590,26361,32806,26968,25848,10506,124301,10880,19116,42242,44234,21409,15996,13913,8938,5075,24,2015,9.73473937,4.329588356
281,Massachusetts,70628,752071,6558724,197716,4328437,352100,130778,86052,88741,7078,17418,20836,30245,31211,20897,10532,117680,8579,15496,43930,44954,23238,14599,11907,8763,3327,25,2015,11.46672737,4.567838229
282,Michigan,51084,1529645,9698396,325603,6073123,137500,132108,92716,87621,7836,24972,29805,23745,20348,35575,13954,114918,10905,20515,42211,36789,17713,14995,16292,12071,8846,26,2015,15.77214418,5.361376676
283,Minnesota,63488,546431,5366594,113735,3376832,200000,103527,61209,66262,3098,10671,23218,22227,11606,21102,7396,78269,6013,11725,38913,30210,13656,10164,7175,6961,2654,27,2015,10.18208197,3.368097673
284,Mississippi,40593,637128,2896579,111218,1773478,112700,54779,42184,39174,6402,12038,13779,9608,5351,18869,5255,50300,6208,12090,15882,20775,10662,7904,3994,2686,1157,28,2015,21.99587859,6.271180133
285,Missouri,50238,875495,5901967,148876,3667679,147800,117936,78638,76891,5991,21946,26529,22051,17567,25791,10135,106599,9897,20599,30949,36634,20431,13584,10187,7281,5967,29,2015,14.83395282,4.059133855
286,Montana,49509,147287,1007727,21970,618119,209500,29384,16672,15948,1628,4117,5778,4713,2005,5445,5706,19441,1495,5120,7764,7584,3230,2006,3303,977,1141,30,2015,14.61576399,3.554331771
287,Nebraska,54996,231321,1842682,28726,1130499,141600,42950,27377,25833,2473,5684,8934,7111,6155,8922,6157,33766,4090,7850,10913,12023,7682,4275,3717,1675,985,31,2015,12.55349539,2.541001805
288,Nevada,52431,418243,2850472,107895,1770634,221400,73737,53294,46115,5720,16933,19942,13194,6429,16919,7535,69059,7057,15066,15068,22048,13768,8496,8190,6616,3100,32,2015,14.67276297,6.09358004
289,New Hampshire,70303,106046,1288060,27812,840967,244500,37161,21448,20437,1559,5419,6572,6542,3979,5007,3374,28427,1040,4587,12187,8919,4109,4448,2618,2526,1451,33,2015,8.233001568,3.307145227
290,New Jersey,72222,946114,8781575,285168,5553122,322600,147092,110869,116511,8320,24388,28498,42744,31281,37726,12126,145563,10144,21968,60037,48814,28499,18513,19408,11921,8076,34,2015,10.77385321,5.135273455
291,New Mexico,45382,417834,2044431,65636,1226223,164100,54296,36339,32076,4145,8541,12097,10876,7035,12240,8034,44129,5017,11524,9180,15034,10248,6906,5212,3489,1805,35,2015,20.43766701,5.352696859
292,New York,60850,2970032,19283776,612260,12481696,293500,298631,224600,224255,24291,52309,68067,79504,64181,78968,33882,296400,23857,47987,88659,120007,56318,38247,34413,23670,15697,36,2015,15.40171386,4.905262875
293,North Carolina,47830,1607835,9790073,306836,6099130,160100,169421,118654,118552,9468,30156,45416,36129,22565,36215,15931,168586,18672,30878,43922,62923,28831,21592,15488,9590,5310,37,2015,16.42311554,5.03081587
294,North Dakota,60557,80170,731354,9633,468080,180900,25409,17956,13911,1769,4859,5837,3250,1953,5864,2422,21080,2271,4808,7120,8279,3187,2058,1616,2002,526,38,2015,10.96185978,2.057981542
295,Ohio,51075,1674415,11295340,337842,7045089,136400,164437,105802,107434,10250,29091,31611,31961,27074,36186,21054,137629,10879,22986,49384,50146,22758,20303,17237,12045,7498,39,2015,14.8239451,4.795425579
296,Oklahoma,48568,610828,3795764,91325,2313940,126800,72053,51236,47535,5815,13788,16325,13851,8167,17448,9074,67213,7679,17229,15917,25977,11252,8683,7270,2266,2498,40,2015,16.0923598,3.946731549
297,Oregon,54148,607029,3952077,126745,2481134,264100,86953,56341,52899,5377,13239,21773,17546,10946,19807,7867,73305,6929,11557,21873,30539,12700,7966,8349,5305,4022,41,2015,15.35974628,5.10834965
298,Pennsylvania,55702,1629995,12385716,375686,7812487,170600,188516,131153,131734,10748,31225,39966,37651,38936,45830,20882,171765,14271,28757,61333,65923,33944,20758,19286,12867,5748,42,2015,13.16028076,4.808788802
299,Rhode Island,58073,141035,1016343,31015,667050,241000,23117,15681,14237,537,3287,3283,5940,5281,3564,1062,21855,848,2828,7914,7343,4350,2637,2108,1361,529,44,2015,13.87671288,4.649576494
300,South Carolina,47238,790715,4750144,160130,2938107,148600,91763,69081,65474,6019,19380,24518,18953,10685,27764,9960,85260,9980,18645,26375,32336,17106,11470,7675,7167,3801,45,2015,16.64612694,5.450107842
301,South Dakota,53017,114071,829644,16600,504714,152800,21761,14230,11539,1247,3453,4297,3755,1361,5654,1368,16009,1582,3345,6729,4861,1620,3456,2219,1306,651,46,2015,13.74939131,3.288991389
302,Tennessee,47275,1077900,6440381,183721,4017067,150600,133828,86423,90538,11297,24724,30590,24589,12184,29700,17734,113166,13299,22945,37333,39776,20089,17211,13844,7997,4467,47,2015,16.73658748,4.573510972
303,Texas,55653,4255517,26846203,694555,16657157,152000,316097,230605,214738,23110,53156,80144,57906,43808,75273,37345,286925,31764,61504,93951,103309,58156,37866,30470,18432,9891,48,2015,15.85146697,4.169709153
304,Utah,62912,331854,2947861,51150,1757716,234600,73681,45477,38594,3350,6860,14158,13444,5918,19090,5636,54561,7003,12938,20400,19133,11128,5142,3335,3225,1767,49,2015,11.25745074,2.910026421
305,Vermont,56990,61314,600659,11650,393856,223700,18724,10958,11177,854,3495,3920,3433,2793,4005,1624,14158,856,1579,5205,7100,2124,1241,1463,1621,946,50,2015,10.20778845,2.957933864
306,Virginia,66262,909346,8131328,219415,5133209,257800,193898,137403,131190,10439,26052,41742,48812,37998,33158,13390,198646,17621,34313,51616,67133,40108,21709,20868,9858,5367,51,2015,11.18324092,4.274421712
307,Washington,64129,857801,7036725,200127,4440161,284000,135609,91366,87162,7390,22822,34961,24795,16208,31942,16449,115186,11835,23266,37251,41727,21713,13604,13689,9730,5713,53,2015,12.19034423,4.507201428
308,West Virginia,42019,321583,1793096,54733,1109345,112100,46024,25400,26553,2476,8993,9119,6145,5104,7817,4942,34144,3126,7075,9915,11914,5824,5549,3454,2471,2625,54,2015,17.93451104,4.933812295
309,Wisconsin,55638,677964,5620223,121650,3535927,168300,86589,57151,52092,3022,11143,17283,17605,12461,16652,8817,72693,7682,13180,26867,26685,10680,8410,7196,5721,2822,55,2015,12.06293772,3.440399081
310,Wyoming,60214,63425,572319,13883,357200,212500,30007,16601,14936,1045,3708,5445,4784,3400,5704,1304,22897,2760,4771,5624,7855,2723,2158,3605,1345,696,56,2015,11.08210631,3.886618141
312,Florida,50860,2973512,20191342,542005,12137388,197700,323385,217124,216328,23804,63219,84120,62063,43567,72333,36141,290705,20414,54766,81499,98396,51099,41786,35696,27585,22211,12,2016,14.72666849,4.465581886
313,Georgia,53559,1603013,10040201,280099,6284159,166800,160482,132553,126389,10911,31865,47212,37860,27273,43821,22963,168544,14912,40890,48019,62500,30480,26346,18989,10575,6231,13,2016,15.9659453,4.457223313
314,Hawaii,74511,129569,1389442,29324,832435,592000,32869,34516,29603,1238,9128,13163,9124,4513,7792,3392,46202,4382,9223,13348,15469,7774,6282,4041,2246,1354,15,2016,9.325254311,3.522677446
315,Idaho,51807,237445,1652592,33255,974803,189400,50002,30934,24838,3586,5690,9366,7407,3488,12780,5200,34712,4128,8083,14024,11411,5862,5404,3475,1907,1478,16,2016,14.36803518,3.41145852
316,Illinois,60960,1621508,12502057,385837,7892615,186500,235654,167259,178269,14064,35773,49917,53422,43245,69399,22149,208552,19871,38717,90519,81592,36710,30765,25205,13014,9135,17,2016,12.96992967,4.888582555
317,Indiana,52314,906077,6432804,152598,4003711,134800,103722,67501,69908,6726,18975,19789,22120,16077,21883,13009,91480,7172,15504,31046,32694,16183,11672,11915,7254,3969,18,2016,14.08525738,3.811413961
318,Iowa,56247,356378,3031338,60272,1875205,142300,63966,38548,38451,4261,8667,13576,10347,7979,13379,6394,51627,4300,10701,17168,18540,9927,6582,5075,2973,1733,19,2016,11.7564587,3.214155252
319,Kansas,54935,342544,2825864,60525,1718393,144900,75556,48255,44566,2646,9753,16137,16687,8392,9650,9453,66899,5684,15330,18192,20916,12781,8396,6650,2890,1982,20,2016,12.121744,3.522186136
320,Kentucky,46659,794060,4298953,113175,2679027,135600,86455,55384,47986,4866,15682,17046,12529,12441,18759,9466,66819,7577,12025,21204,23341,11687,9952,8602,5779,3203,21,2016,18.4710091,4.2244815
321,Louisiana,45146,918187,4546017,142421,2807699,158000,56903,48893,43297,4468,13325,17021,12100,8302,20043,8906,57098,6274,12680,18020,22948,11471,9225,6057,3192,2323,22,2016,20.19761475,5.072516676
322,Maine,53079,161749,1295971,26802,812942,184700,29373,16152,16821,998,4407,5847,5665,3310,4878,2716,21166,1590,3571,7585,6771,3216,3536,2654,2590,1460,23,2016,12.480912,3.296914171
323,Maryland,78945,567715,5875026,160229,3721766,306900,117463,91614,94504,5537,20451,25029,30196,29675,24621,11326,128615,10812,18438,45980,42150,23665,14963,14644,9585,5881,24,2016,9.663191278,4.305187376
324,Massachusetts,75297,686597,6574249,180230,4324702,366900,137166,89555,87318,6041,16455,20874,32299,32183,25058,10133,118287,7500,11728,49793,45580,19827,12869,13705,10543,5328,25,2016,10.44373281,4.167454775
325,Michigan,52492,1451936,9702321,279390,6059622,147100,120929,79775,76579,5602,18245,27084,23809,19597,25221,11026,105455,6709,20208,35100,34963,17209,11928,13709,10591,5937,26,2016,14.96483161,4.610683637
326,Minnesota,65599,533276,5396363,105513,3375664,211800,94818,62805,58778,4364,11209,18117,20263,15026,16921,7956,75991,5812,11069,35723,27109,13164,8021,7941,8343,4401,27,2016,9.882137284,3.125696159
327,Mississippi,41754,602768,2892894,94708,1766560,113900,49374,39791,37718,4720,11449,14338,6783,5009,18013,7435,44011,5467,10307,19436,18293,9316,6748,4324,1965,1653,28,2016,20.83615922,5.361153881
328,Missouri,51746,826954,5911040,137720,3653174,151400,123935,83381,75796,8525,18202,24900,24546,17942,31265,10577,102624,9990,18874,36198,40188,19787,12857,9185,6662,5436,29,2016,13.98999161,3.769872445
329,Montana,50027,135638,1018105,22825,620433,217200,28146,15641,15838,1511,4869,6353,3894,2767,6203,4626,18599,1880,3850,6355,7327,2875,2549,2704,2330,1609,30,2016,13.32259443,3.678882329
330,Nebraska,56927,211453,1851069,33587,1131791,148100,40072,24571,22885,1781,5460,6205,8058,5983,7102,4645,31333,2802,7093,10074,11979,5936,3783,2559,2203,1027,31,2016,11.42329108,2.967597374
331,Nevada,55180,399420,2896888,91612,1791813,239500,63790,46567,41996,4546,14983,21526,9723,7315,14437,9747,58948,6371,11135,12964,19240,11663,11014,6691,7074,2411,32,2016,13.78789929,5.112810321
332,New Hampshire,70936,94289,1292255,24484,839099,251100,41189,22854,22774,1653,4840,8120,8038,5354,5963,3421,30630,1728,4071,11824,11143,3071,3457,3509,3871,2954,33,2016,7.296470124,2.917891691
333,New Jersey,76126,915913,8769487,260291,5525116,328200,148751,110077,116753,7137,27022,30447,36423,33109,30783,14003,146520,12923,21619,58150,47977,29339,18493,16818,13750,7761,34,2016,10.44431675,4.711050411
334,New Mexico,46748,404463,2039449,66134,1220748,167500,51203,32015,33563,2966,7832,11373,9735,7953,9908,4926,45309,4437,9378,11904,15726,8505,5098,4317,3286,2927,35,2016,19.83197422,5.417498124
335,New York,62909,2832824,19230198,558669,12399261,302400,291337,225594,224542,23130,53040,64169,78075,63733,77147,34926,299319,26532,49482,91975,118964,52501,36409,35500,24445,14328,36,2016,14.73112237,4.505663684
336,North Carolina,50584,1521880,9886033,285632,6138694,165400,184075,132362,124201,11203,27160,40492,41948,27011,40670,16929,180017,18060,34733,55956,63891,33606,19025,14767,10445,6080,37,2016,15.39424358,4.652976675
337,North Dakota,60656,78464,731759,10795,463456,184100,31607,21174,16484,1553,6998,7439,4660,2162,6726,2320,25023,1869,4002,8975,10820,2730,4048,3109,1633,472,38,2016,10.72265596,2.329239453
338,Ohio,52334,1645382,11287401,302624,7018306,140100,164081,103621,108420,10414,28409,34562,33073,21078,33538,16268,142315,12303,25844,46358,49007,25714,17136,16032,13525,6122,39,2016,14.57715554,4.311923704
339,Oklahoma,49176,620377,3809431,103740,2316676,132200,75609,52458,53227,4723,15206,18270,14011,8152,16422,8302,71650,9418,11481,24424,27107,13231,8687,5644,3719,1974,40,2016,16.285293,4.477967571
340,Oregon,57532,536146,4016520,107565,2509060,287100,86095,55519,51650,4314,12641,20255,17267,13141,19112,8670,71745,6151,12520,20880,27832,13726,8104,8190,6274,3492,41,2016,13.34852061,4.287063681
341,Pennsylvania,56907,1592045,12368256,340627,7772430,174100,194245,128595,129197,10796,31872,34436,43441,36229,40467,17141,175091,12019,24521,64478,66366,27183,18481,22569,13662,8513,42,2016,12.87202496,4.382503284
342,Rhode Island,60596,129932,1015892,30546,665476,247700,26585,18157,17449,1576,3992,4346,6324,4846,5082,2643,24279,2047,4946,7529,9704,4125,3485,1772,1068,930,44,2016,12.78994224,4.590097915
343,South Carolina,49501,735960,4820419,136399,2951505,153900,88032,66506,61180,4132,18162,23601,18951,11250,17867,8055,88186,8391,18553,24646,31941,14135,10510,8351,6816,4343,45,2016,15.26755247,4.62133725
344,South Dakota,54467,110962,837292,15699,504919,160700,24705,14853,14801,2002,4265,4659,3404,1901,4077,2993,19849,1654,4404,7365,4733,2887,2240,2185,2286,1900,46,2016,13.25248539,3.109211577
345,Tennessee,48547,1023177,6489032,163719,4029585,157700,136833,90532,92281,11668,23046,35336,23964,17792,33163,19211,117713,12155,27483,31369,41596,25243,17239,12350,8507,6871,47,2016,15.76779094,4.062924594
346,Texas,56565,4261337,27236443,706065,16843883,161500,322434,234151,210189,20480,53904,75215,66943,43437,80077,33101,286976,30168,58230,95963,102347,56813,39454,35397,15633,10335,48,2016,15.64571776,4.191818478
347,Utah,65977,306902,3004148,56496,1789836,250300,75159,45704,40099,3090,11664,15026,13455,6374,16338,6575,59270,6125,11165,18904,22844,9025,7258,5196,3627,1659,49,2016,10.21594142,3.156490315
348,Vermont,57677,71329,600077,11788,389462,223700,21464,12375,11318,503,2183,3367,4249,3781,3931,1286,16246,1624,1671,6315,4953,2193,2389,2186,1769,593,50,2016,11.88664121,3.026739451
349,Virginia,68114,896440,8158241,201560,5134008,264000,197947,145450,130221,10215,26316,39404,49306,40937,35261,24193,197578,21103,38218,50172,64330,39842,25214,17981,11768,7043,51,2016,10.98815296,3.925977521
350,Washington,67106,805691,7156306,185261,4497648,306400,145256,97514,94848,5255,22609,38184,29183,21733,27458,13391,136435,10793,22057,42548,43558,25020,15936,16018,10465,5967,53,2016,11.25847609,4.119064009
351,West Virginia,43385,319063,1779919,56575,1091444,117900,42435,26069,25407,3948,11898,9302,5562,3708,10231,4912,30851,2702,4508,9848,10469,6717,6349,4793,3445,2645,54,2016,17.92570336,5.183500024
352,Wisconsin,56811,661565,5628565,115640,3522518,173200,93443,56551,57331,4023,12224,16222,19337,13614,18271,8924,74162,5574,10691,32197,27357,12051,9399,8456,5405,2752,55,2016,11.75370632,3.282878895
353,Wyoming,59882,64663,571169,15405,350428,209500,25145,14778,12406,1043,4625,5353,3977,1746,5544,1840,18207,1552,4303,4585,5919,3266,2165,2486,2227,681,56,2016,11.32116764,4.396052827
355,Alabama,46257,810231,4741329,130227,2921503,136200,69169,52157,47735,5689,14405,15585,12872,9755,15869,7834,68249,6173,12876,22537,21335,12375,9080,8234,4490,2792,01,2016,17.08868969,4.457534358
356,Alaska,76440,71566,723968,28781,457184,267800,33266,21230,20844,943,5531,10486,5193,3157,4951,4308,30205,3119,6760,6885,12087,4949,2234,4063,1418,559,02,2016,9.885243547,6.295277175
357,Arizona,53558,1107464,6771098,191834,4036165,205900,145744,97728,94375,11629,25653,37858,26520,19618,31788,18540,131149,14103,25351,31371,46401,23663,15473,16783,10882,8076,04,2016,16.35575205,4.752878041
358,Arkansas,44334,499225,2898630,63744,1757516,123300,52701,38448,33585,3888,11583,13185,7419,6065,14292,6913,45060,5376,9419,15098,16996,9465,6114,3873,3755,1937,05,2016,17.22279146,3.626937109
359,California,67739,5525524,38513258,1200855,24431848,477500,464266,336112,321578,34788,71011,122538,105672,67020,108865,57381,429414,40320,78415,137926,152950,85401,56010,54275,34697,17696,06,2016,14.34706978,4.915121443
360,Colorado,65685,598736,5420327,129490,3461702,314200,156097,99750,93429,6276,20926,38204,32260,22849,28349,12064,140203,10289,25832,36543,50079,24488,16677,14750,9491,5030,08,2016,11.04612323,3.740645498
361,Connecticut,73433,339128,3469514,109845,2217434,274600,82423,57100,55814,3478,14344,14672,19105,16269,17741,7434,71437,6010,10594,28442,25604,12083,9087,10476,6764,3854,09,2016,9.774510205,4.953698735
362,Delaware,61757,108211,926864,25046,571596,243400,19676,14090,14652,1343,5002,4599,4015,4206,3879,1913,19942,1226,2811,5540,6428,2665,3360,2714,2265,1733,10,2016,11.67495986,4.381766143
363,District of Columbia,75506,120308,647654,25708,473878,576100,32599,28608,31364,1705,4938,5982,13544,16060,7620,3284,44931,3019,3992,10732,21655,8653,4844,4838,1280,959,11,2016,18.57596803,5.425025006
364,Alabama,48123,802656,4752560,118793,2918151,141300,69974,50537,50929,4647,15048,17235,14492,10272,15724,9208,66928,4967,13400,21405,24121,13936,9434,6978,4485,2740,01,2017,16.88891881,4.070831153
365,Alaska,73181,80012,720472,26794,449844,273100,31725,23832,19140,1734,6701,8677,5129,4143,6312,1923,31707,2998,5817,7773,11142,5152,3492,4005,1945,648,02,2017,11.10549751,5.956287068
366,Arizona,56581,1018935,6856067,176818,4089008,223400,128729,85865,77349,8712,19029,30796,25349,17843,25190,12363,112056,9143,20209,32133,33857,20184,16851,12905,10581,7351,04,2017,14.8618005,4.324227294
367,Arkansas,45869,478365,2916321,71318,1762496,128500,53410,34506,35344,5115,12267,14533,7821,4855,10706,5589,48106,3190,8285,13784,16713,7611,6873,4419,5210,3765,05,2017,16.40302971,4.046420531
368,California,71805,5160208,38793027,1101469,24594152,509400,465618,339335,321691,28940,76438,122956,105565,72445,102924,46311,442493,40014,75012,139656,154963,85184,54712,58209,34374,18902,06,2017,13.30189572,4.478580924
369,Colorado,69117,564312,5483104,116085,3495221,348900,163689,99838,94458,6115,20532,39979,34026,22510,26030,13367,140125,10244,22400,38490,48850,25928,16106,16314,10359,5605,08,2017,10.2918347,3.321249214
370,Connecticut,74168,334128,3482584,108239,2216107,273100,72431,47359,51612,3457,10324,10142,17245,15755,14018,6895,61195,4757,8073,29218,25978,9354,5852,8734,4416,2589,09,2017,9.5942553,4.884195574
371,Delaware,62852,126986,934947,21937,574220,252800,23503,17596,18057,1059,4186,6054,5478,4901,5254,1325,26096,1907,4586,7482,8197,5133,2899,2218,1494,1737,10,2017,13.58216027,3.820312772
372,District of Columbia,82372,109920,660642,25054,477952,607200,33981,31096,33922,1683,4586,6541,13148,17499,6104,2976,50628,2976,6574,12011,24402,8423,4854,2948,1865,965,11,2017,16.63836087,5.241948982
373,Florida,52594,2889506,20569920,510072,12340747,214000,330370,221428,226158,23291,69637,90570,65805,40923,68602,38612,306622,24877,54799,77684,98589,58284,42219,36260,28061,26813,12,2017,14.04723985,4.133234398
374,Georgia,56183,1517702,10154747,275590,6357414,173700,161582,128086,126870,10538,32326,47918,38845,23463,40288,21175,168510,14134,35905,51827,56718,32701,22222,19917,14924,6608,13,2017,14.94573917,4.334938703
375,Hawaii,77765,132549,1388550,28252,818124,617400,36330,34329,32268,2242,6376,13508,10308,6899,6174,4305,50629,4708,10328,12228,17517,7342,4662,3896,3666,2250,15,2017,9.545857189,3.453266253
376,Idaho,52225,216309,1686491,30435,993979,207100,50409,28203,28751,2654,6889,11378,7227,3583,10529,3779,38185,3871,6565,14787,12725,5643,4142,4058,3251,1912,16,2017,12.8259801,3.061935916
377,Illinois,62992,1569753,12503720,377195,7847396,195300,246453,174361,165074,11551,37006,51783,55764,40878,53000,24491,220240,18656,39356,84441,75804,44915,27579,24487,16196,8001,17,2017,12.55428784,4.8066263
378,Indiana,54181,871247,6463636,145960,4010573,141100,96460,63500,68594,5224,16186,21905,20453,13379,26778,10138,82202,5726,16840,32381,29545,14956,10226,9567,8401,4452,18,2017,13.47920892,3.639380208
379,Iowa,58570,326636,3044685,54335,1873557,149100,63112,38663,40695,3616,9566,13535,8782,9813,14399,5904,51329,5221,12261,16564,19310,10097,4768,4429,3118,3590,19,2017,10.72807203,2.900098583
380,Kansas,56422,336487,2827376,56090,1716360,150600,78258,50267,49393,3923,11977,16976,14335,9938,11256,7750,71776,6861,13307,22343,23927,13424,6178,8247,2757,2616,20,2017,11.90103474,3.267962432
381,Kentucky,48375,744239,4316917,106818,2673429,141000,80831,51718,47772,5740,14721,18549,12989,7568,18911,7691,65511,6783,12183,20957,24795,11785,9680,6378,4034,2895,21,2017,17.24005812,3.995542803
382,Louisiana,46145,899039,4553037,134447,2797371,162500,63980,53147,49065,5257,16890,17462,13821,9978,18211,9221,67397,5457,14577,18770,26879,13554,10899,7711,2816,1549,22,2017,19.74591904,4.806191242
383,Maine,56277,144012,1301216,25909,808231,191200,23950,12920,14505,1227,4042,3097,4006,2625,4297,2083,15667,1212,2864,8352,4138,3055,1946,2613,2268,977,23,2017,11.06749379,3.205642941
384,Maryland,80776,549171,5915309,156270,3734431,312500,121403,90832,93068,7896,18822,28965,31845,27434,23959,12078,127997,7560,19280,42098,43109,23382,17934,14941,9685,5911,24,2017,9.283893707,4.184573232
385,Massachusetts,77385,692201,6622444,155014,4346979,385400,128125,86662,86371,5273,15402,18353,33731,30922,21952,9658,118507,7635,14659,47058,50863,17449,11145,11973,7729,4522,25,2017,10.45234962,3.566016767
386,Michigan,54909,1377766,9730205,266628,6054238,155700,110046,77987,70072,8400,17181,22580,21774,19471,22498,9531,99290,6019,12785,39849,29142,16197,13386,15663,9080,5938,26,2017,14.15968112,4.403989404
