,Name,Household Income,Poverty Count,Total for poverty status,Unemployed in labor force,Total for employment status,Median house price,Moved to a different state,Moved to different state Male,Moved to different state Female,Moved to different state Less than high school graduate,Moved to different state High school graduate,Moved to different state Some college or associate's degree,Moved to different state Bachelor's degree,Moved to different state Graduate or professional degree,Moved to different state Below 100 percent of the poverty level,Moved to different state 100 to 149 percent of the poverty level,Moved to different state above 150 percent of the poverty level,Moved to different state 1 to 4 years,Moved to different state 5 to 17 years,Moved to different state 18 to 24 years,Moved to different state 25 to 34 years,Moved to different state 35 to 44 years,Moved to different state 45 to 54 years,Moved to different state 55 to 64 years,Moved to different state 65 to 74 years,Moved to different state 75 years and over,State,Year,Poverty Rate,Unemployment Rate
57,Colorado,55387,674195,5002128,233698,3238825,233700,134635,84877,75746,8208,16301,30035,26481,13563,27828,16056,99838,8478,18615,38942,38985,19902,16685,10438,5075,3503,08,2011,13.47816369,7.215517973
58,Connecticut,65753,377856,3471802,187407,2227298,278700,72119,46358,44937,3249,10212,11979,11940,11821,14115,4297,56222,4456,8852,28786,21219,8933,7530,5330,4042,2147,09,2011,10.88356997,8.414096362
59,Delaware,58814,104831,882353,37599,557777,236900,18090,14305,12326,1035,5670,2741,3297,2916,4759,1732,16702,1607,2802,6563,8157,2600,3131,1041,157,573,10,2011,11.88084587,6.740865973
60,District of Columbia,63124,109363,584583,38401,435158,422400,26130,26300,23432,2139,5250,4408,11192,9587,6288,3544,33638,1800,3477,11879,18054,6517,3094,2371,1501,1039,11,2011,18.70786526,8.824610831
61,Florida,44299,3173456,18652057,1055133,11468487,151000,330277,229065,208137,30078,73341,86237,51332,27836,105574,44703,251206,25434,57439,85505,95514,56965,43487,33942,19645,19271,12,2011,17.01397331,9.200280735
62,Georgia,46007,1827743,9550271,545634,6088938,147100,150569,127509,121383,15286,31183,42245,32590,20043,53577,25164,146222,17186,37694,52665,59529,36943,21531,14190,4090,5064,13,2011,19.13812708,8.961070059
63,Hawaii,61821,161290,1338543,49539,823708,487400,35275,29294,32646,1510,5671,15837,6879,4236,8463,6123,42660,7093,8260,12454,17358,7375,4273,2762,1415,950,15,2011,12.04966893,6.01414579
64,Idaho,43341,255027,1550082,69678,938531,158800,53897,31182,26649,2904,6129,8891,7428,3600,12728,8293,31435,3648,10686,14545,11877,6245,4808,3337,1316,1369,16,2011,16.45248445,7.424155409
65,Illinois,53234,1879965,12566914,681371,8014095,178500,189007,141198,127810,12654,28134,38538,39182,31983,52868,24628,150131,16452,31069,70996,65421,30981,22281,17577,7747,6484,17,2011,14.95963926,8.502157761
66,Indiana,46438,1011017,6318942,305506,4004670,122400,109859,69988,73240,9597,17458,22064,16167,11079,34017,14153,81252,10164,20782,35917,29787,18582,12325,9084,4612,1975,18,2011,15.99978288,7.628743442
67,Iowa,49427,378864,2963602,90967,1861411,123400,62101,38278,36238,4814,11528,9633,9584,6070,15137,11050,42301,4837,8562,19488,16943,6213,8073,4864,2790,2746,19,2011,12.78390283,4.886991642
68,Kansas,48964,383467,2786855,101960,1728449,128300,76230,47165,47015,2975,12265,16049,11736,8034,15725,8797,62413,6273,15468,21380,21217,13554,6825,5802,1692,1969,20,2011,13.75984757,5.898930197
69,Kentucky,41141,811277,4238283,200802,2690030,120600,80013,51277,47979,8389,14344,15341,11160,7176,26474,7270,55262,9156,13971,19719,25134,12066,8399,5825,2928,2058,21,2011,19.14164297,7.464675115
70,Louisiana,41734,908375,4445400,187159,2805080,139400,57155,47778,38815,6093,12847,14788,9986,7810,17027,9270,53456,5513,11974,17582,23818,12074,7846,4170,1975,1641,22,2011,20.43404418,6.672144823
71,Maine,46033,182448,1291650,55405,834021,171600,29357,16694,17035,241,5612,6522,3403,3338,7759,2068,20198,1867,3480,9266,5724,2632,4050,2391,3320,999,23,2011,14.12518871,6.643118099
72,Maryland,70004,571887,5685412,259308,3684538,287100,103926,79258,85783,6909,16575,21946,24771,21395,23771,8790,108810,8614,20460,44371,39491,16975,15128,11464,4202,4336,24,2011,10.05884886,7.037734446
73,Massachusetts,62859,738514,6367148,301316,4223139,326300,112841,73001,72868,4722,14852,13272,26660,23148,23945,6864,92492,9075,10824,43316,39090,15116,11322,9599,4058,3469,25,2011,11.59881944,7.134882371
74,Michigan,45981,1693294,9656260,584381,6122753,118100,139893,95795,90710,7381,22644,30707,26935,22642,35158,16366,118274,12010,25133,39053,39847,23752,16832,16007,7528,6343,26,2011,17.53571258,9.544415723
75,Minnesota,56954,621970,5222556,206786,3340333,183500,86057,55827,47426,3754,8413,15720,15218,8300,20252,7177,55599,5313,8207,38328,21581,8049,8818,6603,4512,1842,27,2011,11.90930265,6.1905804
76,Mississippi,36919,650524,2884215,142065,1788212,99900,44163,36303,32294,5434,9089,12012,8145,3538,13906,10461,37362,4625,10746,15008,15877,9419,6303,3761,1201,1657,28,2011,22.55462925,7.94452783
77,Missouri,45247,920118,5831530,259397,3671075,136900,108359,71831,66573,6904,18411,20861,19704,11879,27056,18432,77346,9396,19396,31853,32447,16962,12140,7227,5401,3582,29,2011,15.77832919,7.065968415
78,Montana,44222,144054,974025,38028,614806,184100,27351,16448,14756,1117,3841,6328,4322,1823,6231,1804,19466,1552,3735,8486,4989,3459,3241,2203,2175,1364,30,2011,14.78955879,6.18536579
79,Nebraska,50296,234710,1789275,56204,1117300,127400,38710,26703,26106,2086,5871,10419,7572,4811,11206,3615,32061,3923,7068,11059,14159,5365,3211,5194,1316,1514,31,2011,13.1176035,5.030341001
80,Nevada,48927,426741,2684536,162394,1688466,158000,86480,61372,54571,8100,19040,25307,14470,5881,22619,10944,76528,7931,17862,17352,25355,16841,11772,9545,5341,3944,32,2011,15.89626662,9.617842468
81,New Hampshire,62647,112715,1279118,45874,847734,237500,38528,22710,20567,688,4681,9151,6413,4856,6117,3365,26718,1877,3561,12050,11868,3078,4505,3214,1840,1284,33,2011,8.811931346,5.411367245
82,New Jersey,67458,897376,8646606,465194,5506938,324900,148301,110395,105974,9141,20451,30223,34450,23063,35892,14254,126300,10321,22127,66593,44930,23619,18472,16484,7966,5857,34,2011,10.37836117,8.447416695
83,New Mexico,41963,439914,2042530,99881,1252249,159000,48524,31338,30093,3345,6468,12399,8256,6818,12142,7145,36622,4176,7414,12555,13910,7368,5942,5159,2569,2338,35,2011,21.53770079,7.976129348
84,New York,55246,3027342,18954044,885752,12374574,285300,254226,191430,186370,21350,44616,55057,61835,47327,70017,37029,233441,22354,41621,83640,93146,47969,33653,27526,15938,11953,36,2011,15.97201104,7.157838322
85,North Carolina,43916,1680963,9406091,516534,5939488,153700,166369,120053,105094,11375,30653,36792,28320,19684,43367,19162,146387,16837,31671,49815,54296,28411,19009,15396,5832,3880,37,2011,17.87100508,8.696608192
86,North Dakota,51704,80882,660473,10887,426165,128600,23350,13166,13397,908,3203,5581,3178,1503,3698,2022,17429,1959,4056,6175,6391,3554,1986,1045,825,572,38,2011,12.24607213,2.554644328
87,Ohio,45749,1845800,11234071,559160,7101086,129600,166673,102364,103685,12063,27276,33361,25279,19093,45356,18127,117634,9145,24605,55227,43756,24199,19342,16082,7772,5921,39,2011,16.43037506,7.874288524
88,Oklahoma,43225,633298,3678924,125764,2277736,112600,60723,43295,37714,4125,11390,13284,9829,5904,13547,6901,51936,5879,14266,16332,17163,8966,8223,4457,3660,2063,40,2011,17.21421807,5.521447613
89,Oregon,46816,662283,3794213,217897,2428380,232900,88707,56856,52939,5994,13671,21044,16044,11830,24387,12952,63471,6932,13138,21142,26130,14744,11045,9139,4701,2824,41,2011,17.45508225,8.97293669
90,Pennsylvania,50228,1695996,12328566,553194,7883366,164800,163826,107448,107679,9149,28167,28805,30761,27914,38574,16049,133191,9405,20910,60016,54037,20729,17342,15728,9227,7733,42,2011,13.75663642,7.017230965
91,Rhode Island,53636,148819,1009941,52778,670434,245500,24083,14812,16253,1927,4398,5134,3119,4255,4862,3922,18873,1473,3297,7462,8634,4333,2752,1762,479,873,44,2011,14.73541524,7.872214118
92,South Carolina,42367,856938,4538298,250240,2862576,136000,88742,62001,59425,5412,16896,18866,15383,10092,22620,12882,72670,7660,17772,29345,25492,17991,9715,7661,3784,2006,45,2011,18.88236515,8.741776638
93,South Dakota,48321,110681,794872,22482,491514,131400,24729,14935,14448,2185,2880,6114,2664,1664,5727,3342,17033,2939,3889,7048,6071,3668,1222,2979,1037,530,46,2011,13.92438028,4.574030445
94,Tennessee,41693,1142299,6246380,306945,3962855,138300,121005,77519,76724,10677,21698,27961,19320,12171,34066,12275,92786,10448,22594,29374,35585,20304,13495,12780,5962,3701,47,2011,18.28737605,7.745552133
95,Texas,49392,4628758,25071125,988228,15623903,127700,285181,210696,194143,23667,50884,67497,52130,34742,70859,36243,250734,29115,56652,90152,89825,57724,36091,28399,9888,6993,48,2011,18.46250617,6.325103273
96,Utah,55869,374859,2771344,100407,1657744,207500,63512,42002,31209,3087,8087,11327,11528,6236,15079,7189,46884,6354,10679,15913,21669,7553,4905,3648,1197,1293,49,2011,13.52625297,6.05684593
